# ==========================================================================
# Y(pi) gate for the Novera transmon  --  arm A: Gaussian (planar baseline)
# ==========================================================================
# 
# *** THIS IS THE VZ-FREE VARIANT: play it as-is, NO virtual Z needed. ***
# 
#   The whole drive phase has been rotated by psi = -phi_vz/2 = -0.000001 deg.
#   This is an EXACT identity for a pi rotation about an in-plane axis:
#       rotating the drive phase by psi maps  W -> R_z(phi_vz + 2*psi) . Y(pi),
#   so psi = -phi_vz/2 leaves exactly Y(pi). Robustness is unchanged (R_z commutes
#   with the noise terms). Verified: 1 - Fbar = 1.7425e-03 with no virtual Z,
#   matching the canonical file's 1.7425e-03.
# 
# -- conventions ----------------------------------------------------------
#   target = Y(pi) = exp(-i*pi*(n.sigma)/2), n at azimuth phi_axis = 90.0 deg in the equatorial plane
#   provenance: exact frame rotation of X(pi) by phi_axis = pi/2 (not an independent solve)
#   H = Omega_x*(a+a^dag)/2 + Omega_y*i(a^dag-a)/2 + Delta*|2><2|,  Delta/2pi = -0.19848 GHz
#   Omega is ANGULAR (rad/ns). rabi_*_MHz = Omega/(2*pi) in MHz. I_norm = Omega_x/Omega_max.
#   Omega_max/2pi = 50.0 MHz (full-scale reference for I_norm/Q_norm).
#   phase_rad = atan2(Omega_y, Omega_x). If your IQ convention has the opposite phase
#   sense, negate Q -- see README, it changes the answer by 4 orders of magnitude.
#   Drive is ON RESONANCE with the bare f01. No frequency offset is required
#   (the AC-Stark shift is already built into the pulse shape).
# 
# -- playback -------------------------------------------------------------
#   50 samples, sample-and-hold, dt = 1.000000000 ns  ->  1.0000 GSa/s
#   total duration T = 50.000 ns.  t_ns is the CELL MIDPOINT (t0 = dt/2).
#   peak |Omega|/2pi = 24.0555 MHz  (48.11 % of Omega_max)
# 
# -- simulated performance on this device ----------------------------------
#   three-level coherent 1 - Fbar   = 1.7425e-03
#   leakage 1 - tr(B^dag B)/2       = 9.0566e-06
#   T1 = 35.0 us, T2echo = 41.9 us -> decoherence floor 6.359e-04 for a 50 ns gate
# 
#   1 - Fbar over (amplitude error, drive detuning):
#         detuning ->  -0.20MHz  -0.10MHz  +0.00MHz  +0.10MHz  +0.20MHz
#     eps=-0.05     6.51e-03  6.13e-03  5.78e-03  5.48e-03  5.21e-03
#     eps=-0.02     3.16e-03  2.75e-03  2.38e-03  2.05e-03  1.76e-03
#     eps=+0.00     2.56e-03  2.13e-03  1.74e-03  1.39e-03  1.08e-03
#     eps=+0.02     3.26e-03  2.82e-03  2.41e-03  2.04e-03  1.72e-03
#     eps=+0.05     6.76e-03  6.29e-03  5.86e-03  5.46e-03  5.11e-03
# 
# -- provenance -----------------------------------------------------------
#   run_id = None   status = None
#   git_commit = 05c91e02d9f092f1e3f9eda2daab3af98f90754b
#   device = Novera: alpha/2pi = -0.19848 GHz, Omega_max/2pi = 50.0 MHz,
#            T1 = 35000.0 ns, T2echo = 41900.0 ns, sample_rate = 1.0 GSa/s
# ==========================================================================
t_ns,I_norm,Q_norm,rabi_x_MHz,rabi_y_MHz,rabi_envelope_MHz,phase_rad,Omega_x_rad_per_ns,Omega_y_rad_per_ns
3.550000000000e+01,2.206543368272e-09,2.183472942540e-01,1.103271684136e-07,1.091736471270e+01,1.091736471270e+01,1.570796316689e+00,6.932060435589e-10,6.859582555595e-02
3.650000000000e+01,1.875513380017e-09,1.855904025057e-01,9.377566900084e-08,9.279520125285e+00,9.279520125285e+00,1.570796316689e+00,5.892099056370e-10,5.830494450886e-02
3.750000000000e+01,1.570737074920e-09,1.554314296401e-01,7.853685374601e-08,7.771571482003e+00,7.771571482003e+00,1.570796316689e+00,4.934616055291e-10,4.883022374942e-02
3.850000000000e+01,1.306258087517e-09,1.292600558448e-01,6.531290437587e-08,6.463002792241e+00,6.463002792241e+00,1.570796316689e+00,4.103730811437e-10,4.060824418447e-02
3.950000000000e+01,1.078508918363e-09,1.067232611602e-01,5.392544591814e-08,5.336163058009e+00,5.336163058009e+00,1.570796316689e+00,3.388235694760e-10,3.352810132279e-02
4.050000000000e+01,8.725269463124e-10,8.634042758027e-02,4.362634731562e-08,4.317021379014e+00,4.317021379014e+00,1.570796316689e+00,2.741124244594e-10,2.712464529940e-02
4.150000000000e+01,6.828553973466e-10,6.757158301137e-02,3.414276986733e-08,3.378579150568e+00,3.378579150568e+00,1.570796316689e+00,2.145253499768e-10,2.122823887799e-02
4.250000000000e+01,5.225604564902e-10,5.170968465855e-02,2.612802282451e-08,2.585484232928e+00,2.585484232928e+00,1.570796316689e+00,1.641672091166e-10,1.624507654428e-02
4.350000000000e+01,4.065017588311e-10,4.022515959873e-02,2.032508794155e-08,2.011257979937e+00,2.011257979937e+00,1.570796316689e+00,1.277062939215e-10,1.263710658849e-02
4.450000000000e+01,3.277407384950e-10,3.243140583420e-02,1.638703692475e-08,1.621570291710e+00,1.621570291710e+00,1.570796316689e+00,1.029627896338e-10,1.018862663143e-02
4.550000000000e+01,2.577489936807e-10,2.550541094098e-02,1.288744968403e-08,1.275270547049e+00,1.275270547049e+00,1.570796316689e+00,8.097423450174e-11,8.012761163897e-03
4.650000000000e+01,1.742985624566e-10,1.724761908241e-02,8.714928122830e-09,8.623809541203e-01,8.623809541203e-01,1.570796316689e+00,5.475750833449e-11,5.418499340120e-03
4.750000000000e+01,8.601533395514e-11,8.511600407912e-03,4.300766697757e-09,4.255800203956e-01,4.255800203956e-01,1.570796316689e+00,2.702251412495e-11,2.673998131179e-03
4.850000000000e+01,2.297015251065e-11,2.272998900190e-03,1.148507625533e-09,1.136499450095e-01,1.136499450095e-01,1.570796316689e+00,7.216286237931e-12,7.140836646454e-04
4.950000000000e+01,9.479585780228e-13,9.380472351117e-05,4.739792890114e-11,4.690236175558e-03,4.690236175558e-03,1.570796316689e+00,2.978099704624e-13,2.946962302547e-05
