# ==========================================================================
# X(pi) gate for the Novera transmon  --  arm A: Gaussian (planar baseline)
# ==========================================================================
# 
# *** THIS IS THE VZ-FREE VARIANT: play it as-is, NO virtual Z needed. ***
# 
#   The whole drive phase has been rotated by psi = -phi_vz/2 = +0.000000 deg.
#   This is an EXACT identity for a pi rotation about an in-plane axis:
#       rotating the drive phase by psi maps  W -> R_z(phi_vz + 2*psi) . X(pi),
#   so psi = -phi_vz/2 leaves exactly X(pi). Robustness is unchanged (R_z commutes
#   with the noise terms). Verified: 1 - Fbar = 1.7425e-03 with no virtual Z,
#   matching the canonical file's 1.7425e-03.
# 
# -- conventions ----------------------------------------------------------
#   target = X(pi) = exp(-i*pi*(n.sigma)/2), n at azimuth phi_axis = 0.0 deg in the equatorial plane
#   provenance: solved independently on this device
#   H = Omega_x*(a+a^dag)/2 + Omega_y*i(a^dag-a)/2 + Delta*|2><2|,  Delta/2pi = -0.19848 GHz
#   Omega is ANGULAR (rad/ns). rabi_*_MHz = Omega/(2*pi) in MHz. I_norm = Omega_x/Omega_max.
#   Omega_max/2pi = 50.0 MHz (full-scale reference for I_norm/Q_norm).
#   phase_rad = atan2(Omega_y, Omega_x). If your IQ convention has the opposite phase
#   sense, negate Q -- see README, it changes the answer by 4 orders of magnitude.
#   Drive is ON RESONANCE with the bare f01. No frequency offset is required
#   (the AC-Stark shift is already built into the pulse shape).
# 
# -- playback -------------------------------------------------------------
#   50 samples, sample-and-hold, dt = 1.000000000 ns  ->  1.0000 GSa/s
#   total duration T = 50.000 ns.  t_ns is the CELL MIDPOINT (t0 = dt/2).
#   peak |Omega|/2pi = 24.0555 MHz  (48.11 % of Omega_max)
# 
# -- simulated performance on this device ----------------------------------
#   three-level coherent 1 - Fbar   = 1.7425e-03
#   leakage 1 - tr(B^dag B)/2       = 9.0566e-06
#   T1 = 35.0 us, T2echo = 41.9 us -> decoherence floor 6.359e-04 for a 50 ns gate
# 
#   1 - Fbar over (amplitude error, drive detuning):
#         detuning ->  -0.20MHz  -0.10MHz  +0.00MHz  +0.10MHz  +0.20MHz
#     eps=-0.05     6.51e-03  6.13e-03  5.78e-03  5.48e-03  5.21e-03
#     eps=-0.02     3.16e-03  2.75e-03  2.38e-03  2.05e-03  1.76e-03
#     eps=+0.00     2.56e-03  2.13e-03  1.74e-03  1.39e-03  1.08e-03
#     eps=+0.02     3.26e-03  2.82e-03  2.41e-03  2.04e-03  1.72e-03
#     eps=+0.05     6.76e-03  6.29e-03  5.86e-03  5.46e-03  5.11e-03
# 
# -- provenance -----------------------------------------------------------
#   run_id = None   status = None
#   git_commit = 05c91e02d9f092f1e3f9eda2daab3af98f90754b
#   device = Novera: alpha/2pi = -0.19848 GHz, Omega_max/2pi = 50.0 MHz,
#            T1 = 35000.0 ns, T2echo = 41900.0 ns, sample_rate = 1.0 GSa/s
# ==========================================================================
t_ns,I_norm,Q_norm,rabi_x_MHz,rabi_y_MHz,rabi_envelope_MHz,phase_rad,Omega_x_rad_per_ns,Omega_y_rad_per_ns
3.450000000000e+01,2.519862721901e-01,1.452474373882e-14,1.259931360951e+01,7.262371869409e-13,1.259931360951e+01,5.764101199869e-14,7.916382215180e-02,4.563082822514e-15
3.550000000000e+01,2.183472942540e-01,1.258575900798e-14,1.091736471270e+01,6.292879503988e-13,1.091736471270e+01,5.764101199869e-14,6.859582555595e-02,3.953932803931e-15
3.650000000000e+01,1.855904025057e-01,1.069761861767e-14,9.279520125285e+00,5.348809308836e-13,9.279520125285e+00,5.764101199869e-14,5.830494450886e-02,3.360756006019e-15
3.750000000000e+01,1.554314296401e-01,8.959224900856e-15,7.771571482003e+00,4.479612450428e-13,7.771571482003e+00,5.764101199869e-14,4.883022374942e-02,2.814623513039e-15
3.850000000000e+01,1.292600558448e-01,7.450680429903e-15,6.463002792241e+00,3.725340214951e-13,6.463002792241e+00,5.764101199869e-14,4.060824418447e-02,2.340700290283e-15
3.950000000000e+01,1.067232611602e-01,6.151636777073e-15,5.336163058009e+00,3.075818388537e-13,5.336163058009e+00,5.764101199869e-14,3.352810132279e-02,1.932593690641e-15
4.050000000000e+01,8.634042758027e-02,4.976749622127e-15,4.317021379014e+00,2.488374811063e-13,4.317021379014e+00,5.764101199869e-14,2.712464529940e-02,1.563492005163e-15
4.150000000000e+01,6.757158301137e-02,3.894894427129e-15,3.378579150568e+00,1.947447213564e-13,3.378579150568e+00,5.764101199869e-14,2.122823887799e-02,1.223617171878e-15
4.250000000000e+01,5.170968465855e-02,2.980598553852e-15,2.585484232928e+00,1.490299276926e-13,2.585484232928e+00,5.764101199869e-14,1.624507654428e-02,9.363826520083e-16
4.350000000000e+01,4.022515959873e-02,2.318618907080e-15,2.011257979937e+00,1.159309453540e-13,2.011257979937e+00,5.764101199869e-14,1.263710658849e-02,7.284156124956e-16
4.450000000000e+01,3.243140583420e-02,1.869379052824e-15,1.621570291710e+00,9.346895264119e-14,1.621570291710e+00,5.764101199869e-14,1.018862663143e-02,5.872827499126e-16
4.550000000000e+01,2.550541094098e-02,1.470157698081e-15,1.275270547049e+00,7.350788490403e-14,1.275270547049e+00,5.764101199869e-14,8.012761163897e-03,4.618636623908e-16
4.650000000000e+01,1.724761908241e-02,9.941702184778e-16,8.623809541203e-01,4.970851092389e-14,8.623809541203e-01,5.764101199869e-14,5.418499340120e-03,3.123277854788e-16
4.750000000000e+01,8.511600407912e-03,4.906172612405e-16,4.255800203956e-01,2.453086306203e-14,4.255800203956e-01,5.764101199869e-14,2.673998131179e-03,1.541319583638e-16
4.850000000000e+01,2.272998900190e-03,1.310179568789e-16,1.136499450095e-01,6.550897843943e-15,1.136499450095e-01,5.764101199869e-14,7.140836646454e-04,4.116050508190e-17
4.950000000000e+01,9.380472351117e-05,5.406999193441e-18,4.690236175558e-03,2.703499596721e-16,4.690236175558e-03,5.764101199869e-14,2.946962302547e-05,1.698658894408e-18
